site,year,transect,species,count
sr disease,2019,1,Favia fragum,
sr disease,2019,1,Isophyllia,
sr disease,2019,1,Helio cuc.,2
sr disease,2019,1,Madracis mir.,
sr disease,2019,1,Madracis decac.,
sr disease,2019,1,Meandrina mea.,1
sr disease,2019,1,M. cavernosa,4
sr disease,2019,1,O. faveolata,1
sr disease,2019,1,O. franksi,
sr disease,2019,1,O. annularis,2
sr disease,2019,1,Mycetophyllia,
sr disease,2019,1,Orbicella,
sr disease,2019,1,P. astreoides,62
sr disease,2019,1,P. porites,20
sr disease,2019,1,P. furcata,
sr disease,2019,1,Sid. siderea,79
sr disease,2019,1,Sid. radians,
sr disease,2019,1,Stephanocoenia,4
sr disease,2019,1,tot colonies,338
sr disease,2019,2,Ag. agaricites,142
sr disease,2019,2,Ag. tenufolia,9
sr disease,2019,2,Ag fragilis,
sr disease,2019,2,Ag humilis,
sr disease,2019,2,Colpo. natans,1
sr disease,2019,2,Dichocoenia ,2
sr disease,2019,2,Dipl. clivosa,
sr disease,2019,2,Dipl. labyrinth.,1
sr disease,2019,2,Dipl. strigosa,2
sr disease,2019,2,Eusmilia fast.,
sr disease,2019,2,Favia fragum,
sr disease,2019,2,Isophyllia,1
sr disease,2019,2,Helio cuc.,1
sr disease,2019,2,Madracis mir.,
sr disease,2019,2,Madracis decac.,
sr disease,2019,2,Meandrina mea.,
sr disease,2019,2,M. cavernosa,10
sr disease,2019,2,O. faveolata,
sr disease,2019,2,O. franksi,
sr disease,2019,2,O. annularis,13
sr disease,2019,2,Mycetophyllia,
sr disease,2019,2,Orbicella,1
sr disease,2019,2,P. astreoides,55
sr disease,2019,2,P. porites,38
sr disease,2019,2,P. furcata,
sr disease,2019,2,Sid. siderea,63
sr disease,2019,2,Sid. radians,
sr disease,2019,2,Stephanocoenia,5
sr disease,2019,2,tot colonies,344
SW,2022,1,Ag. agaricites,43
SW,2022,1,Ag. tenufolia,9
SW,2022,1,Ag fragilis,
SW,2022,1,Ag humilis,
SW,2022,1,Colpo. natans,
SW,2022,1,Dichocoenia ,
SW,2022,1,Dipl. clivosa,
SW,2022,1,Dipl. labyrinth.,
SW,2022,1,Dipl. strigosa,3
SW,2022,1,Eusmilia fast.,1
SW,2022,1,Favia fragum,
SW,2022,1,Isophyllia,
SW,2022,1,Helio cuc.,
SW,2022,1,Madracis mir.,
SW,2022,1,Madracis decac.,
SW,2022,1,Meandrina mea.,
SW,2022,1,M. cavernosa,
SW,2022,1,O. faveolata,1
SW,2022,1,O. franksi,
SW,2022,1,O. annularis,26
SW,2022,1,Mycetophyllia,
SW,2022,1,Orbicella,
SW,2022,1,P. astreoides,13
SW,2022,1,P. porites,17
SW,2022,1,P. furcata,
SW,2022,1,Sid. siderea,8
SW,2022,1,Sid. radians,
SW,2022,1,Stephanocoenia,4
SW,2022,1,tot colonies,121
SW,2022,2,Ag. agaricites,89
SW,2022,2,Ag. tenufolia,
SW,2022,2,Ag fragilis,
SW,2022,2,Ag humilis,
SW,2022,2,Colpo. natans,
SW,2022,2,Dichocoenia ,
SW,2022,2,Dipl. clivosa,
SW,2022,2,Dipl. labyrinth.,
SW,2022,2,Dipl. strigosa,5
SW,2022,2,Eusmilia fast.,
SW,2022,2,Favia fragum,
SW,2022,2,Isophyllia,
SW,2022,2,Helio cuc.,
SW,2022,2,Madracis mir.,
SW,2022,2,Madracis decac.,
SW,2022,2,Meandrina mea.,
SW,2022,2,M. cavernosa,1
SW,2022,2,O. faveolata,1
SW,2022,2,O. franksi,
SW,2022,2,O. annularis,7
SW,2022,2,Mycetophyllia,
SW,2022,2,Orbicella,
SW,2022,2,P. astreoides,57
SW,2022,2,P. porites,17
SW,2022,2,P. furcata,
SW,2022,2,Sid. siderea,12
SW,2022,2,Sid. radians,
SW,2022,2,Stephanocoenia,12
SW,2022,2,tot colonies,201
sr disease,2022,1,Ag. agaricites,73
sr disease,2022,1,Ag. tenufolia,24
sr disease,2022,1,Ag fragilis,
sr disease,2022,1,Ag humilis,
sr disease,2022,1,Colpo. natans,
sr disease,2022,1,Dichocoenia ,
sr disease,2022,1,Dipl. clivosa,
sr disease,2022,1,Dipl. labyrinth.,
sr disease,2022,1,Dipl. strigosa,2
sr disease,2022,1,Eusmilia fast.,
sr disease,2022,1,Favia fragum,
sr disease,2022,1,Isophyllia,
sr disease,2022,1,Helio cuc.,1
sr disease,2022,1,Madracis mir.,
sr disease,2022,1,Madracis decac.,
sr disease,2022,1,Meandrina mea.,
sr disease,2022,1,M. cavernosa,2
sr disease,2022,1,O. faveolata,
sr disease,2022,1,O. franksi,1
sr disease,2022,1,O. annularis,1
sr disease,2022,1,Mycetophyllia,
sr disease,2022,1,Orbicella,
sr disease,2022,1,P. astreoides,28
sr disease,2022,1,P. porites,40
sr disease,2022,1,P. furcata,
sr disease,2022,1,Sid. siderea,24
sr disease,2022,1,Sid. radians,
sr disease,2022,1,Stephanocoenia,4
sr disease,2022,1,tot colonies,200
sr disease,2022,2,Ag. agaricites,92
sr disease,2022,2,Ag. tenufolia,36
sr disease,2022,2,Ag fragilis,1
sr disease,2022,2,Ag humilis,
sr disease,2022,2,Colpo. natans,
sr disease,2022,2,Dichocoenia ,
sr disease,2022,2,Dipl. clivosa,
sr disease,2022,2,Dipl. labyrinth.,2
sr disease,2022,2,Dipl. strigosa,5
sr disease,2022,2,Eusmilia fast.,
sr disease,2022,2,Favia fragum,
sr disease,2022,2,Isophyllia,
sr disease,2022,2,Helio cuc.,
sr disease,2022,2,Madracis mir.,
sr disease,2022,2,Madracis decac.,
sr disease,2022,2,Meandrina mea.,
sr disease,2022,2,M. cavernosa,3
sr disease,2022,2,O. faveolata,
sr disease,2022,2,O. franksi,
sr disease,2022,2,O. annularis,
sr disease,2022,2,Mycetophyllia,
sr disease,2022,2,Orbicella,
sr disease,2022,2,P. astreoides,47
sr disease,2022,2,P. porites,23
sr disease,2022,2,P. furcata,
sr disease,2022,2,Sid. siderea,22
sr disease,2022,2,Sid. radians,1
sr disease,2022,2,Stephanocoenia,3
sr disease,2022,2,tot colonies,235
sr 30S,2022,1,Ag. agaricites,84
sr 30S,2022,1,Ag. tenufolia,28
sr 30S,2022,1,Ag fragilis,
sr 30S,2022,1,Ag humilis,
sr 30S,2022,1,Colpo. natans,
sr 30S,2022,1,Dichocoenia ,
sr 30S,2022,1,Dipl. clivosa,
sr 30S,2022,1,Dipl. labyrinth.,
